,experience_level,employment_type,salary_in_usd,company_location_fact,employee_residence_fact,job_title_fact
257,3,1,173762.0,0,0,4
258,3,1,185000.0,1,1,3
259,4,1,141846.0,0,0,4
260,2,1,130000.0,1,1,0
261,3,1,63831.0,0,0,2
262,2,1,16904.0,0,0,0
263,3,1,66265.0,0,0,3
264,2,1,25532.0,0,0,0
265,3,1,160000.0,1,0,4
266,2,1,93150.0,1,1,1
267,2,1,111775.0,1,1,1
268,2,1,28016.0,0,0,1
269,1,1,65013.0,0,0,1
270,1,1,72500.0,1,1,1
271,3,1,18907.0,0,0,4
272,1,1,76833.0,0,0,4
273,1,1,85000.0,0,0,3
274,3,1,77684.0,0,0,0
275,1,1,100000.0,1,1,0
276,1,1,58000.0,1,1,0
277,3,1,55000.0,0,0,4
278,3,1,20171.0,0,0,0
279,1,1,59102.0,0,0,4
280,2,1,112000.0,1,1,1
281,1,1,100000.0,0,0,4
282,2,2,69741.0,0,0,1
283,3,3,105000.0,1,1,4
284,2,1,69999.0,0,0,4
285,3,1,94665.0,0,0,4
286,3,1,102839.0,0,0,4
287,2,1,109000.0,1,1,0
288,2,1,51064.0,0,0,3
289,3,1,135000.0,1,1,1
290,3,1,155000.0,1,1,2
291,3,1,120600.0,1,1,2
292,2,1,130000.0,1,1,0
293,2,1,90000.0,1,1,0
294,2,1,170000.0,1,1,1
295,2,1,150000.0,1,1,1
296,3,1,102100.0,1,1,2
297,3,1,84900.0,1,1,2
298,3,1,136620.0,1,1,0
299,3,1,99360.0,1,1,0
300,3,1,117789.0,0,0,0
301,3,1,104702.0,0,0,0
302,3,1,146000.0,1,1,0
303,3,1,123000.0,1,1,0
304,1,1,52351.0,0,0,1
305,3,1,99000.0,1,1,2
306,3,1,116000.0,1,1,2
307,2,1,106260.0,1,1,2
308,2,1,126500.0,1,1,2
309,4,1,242000.0,1,1,1
310,4,1,200000.0,1,1,1
311,2,1,65438.0,0,0,0
312,2,1,39263.0,0,0,0
313,2,1,78526.0,0,0,1
314,2,1,52351.0,0,0,1
315,3,1,165220.0,1,1,0
316,1,1,45807.0,0,0,1
317,3,1,120160.0,1,1,0
318,3,1,90320.0,1,1,2
319,3,1,181940.0,1,1,1
320,3,1,132320.0,1,1,1
321,3,1,220110.0,1,1,1
322,3,1,160080.0,1,1,1
323,3,1,180000.0,1,1,0
324,3,1,120000.0,1,1,0
325,3,1,124190.0,1,1,2
326,4,1,130000.0,1,1,2
327,4,1,110000.0,1,1,2
328,3,1,170000.0,1,1,2
329,2,1,115500.0,1,1,2
330,3,1,112900.0,1,1,2
331,3,1,90320.0,1,1,2
332,3,1,112900.0,1,1,2
333,3,1,90320.0,1,1,2
334,3,1,165400.0,1,1,1
335,3,1,132320.0,1,1,1
336,2,1,167000.0,1,1,2
337,3,1,243900.0,1,1,1
338,3,1,136600.0,1,1,2
339,3,1,109280.0,1,1,2
340,3,1,128875.0,1,1,1
341,3,1,93700.0,1,1,1
342,4,1,224000.0,1,1,4
343,4,1,167875.0,1,1,4
344,4,1,175000.0,1,1,4
345,3,1,156600.0,1,1,1
346,3,1,108800.0,1,1,1
347,3,1,95550.0,1,1,0
348,3,1,113000.0,1,1,1
349,3,1,135000.0,1,1,2
350,3,1,161342.0,1,1,4
351,3,1,137141.0,1,1,4
352,3,1,167000.0,1,1,0
353,3,1,123000.0,1,1,0
354,3,1,78526.0,0,0,1
355,3,1,65438.0,0,0,1
356,3,1,150000.0,1,1,0
357,3,1,211500.0,1,1,0
358,3,1,192400.0,0,0,4
359,3,1,90700.0,0,0,4
360,3,1,130000.0,0,0,2
361,3,1,61300.0,0,0,2
362,3,1,130000.0,0,0,2
363,3,1,61300.0,0,0,2
364,3,1,160000.0,1,1,1
365,3,1,138600.0,1,1,0
366,3,1,136000.0,1,1,1
367,2,1,58000.0,1,1,2
368,4,1,135000.0,1,1,4
369,3,1,170000.0,1,1,0
370,3,1,123000.0,1,1,0
371,3,1,189650.0,1,1,3
372,3,1,164996.0,1,1,3
373,2,1,54957.0,0,0,4
374,2,1,54957.0,0,0,4
375,4,1,118187.0,0,0,4
376,3,1,132000.0,1,1,2
377,3,1,165400.0,1,1,1
378,3,1,208775.0,1,1,4
379,3,1,147800.0,1,1,4
380,3,1,136994.0,1,1,1
381,3,1,101570.0,1,1,1
382,3,1,128875.0,1,1,2
383,3,1,93700.0,1,1,2
384,4,1,79039.0,0,0,4
385,3,1,132320.0,1,1,1
386,1,1,37300.0,0,0,3
387,3,1,164000.0,1,1,2
388,3,1,155000.0,1,1,1
389,2,1,124333.0,0,0,3
390,2,1,98158.0,0,0,3
391,2,1,120000.0,1,1,4
392,3,1,112900.0,1,1,2
393,3,1,90320.0,1,1,2
394,3,1,145000.0,1,1,4
395,3,1,105400.0,1,1,4
396,2,1,87932.0,0,0,3
397,2,1,117789.0,0,0,1
398,3,1,215300.0,1,1,0
399,3,1,158200.0,1,1,0
400,3,1,209100.0,1,1,1
401,3,1,154600.0,1,1,1
402,3,1,115934.0,1,1,2
403,3,1,81666.0,1,1,2
404,3,1,175000.0,1,1,1
405,2,1,98158.0,0,0,1
406,2,1,58000.0,1,1,2
407,3,1,183600.0,1,1,1
408,2,1,52351.0,0,0,2
409,3,1,180000.0,1,1,0
410,2,1,71982.0,0,0,0
411,2,1,45807.0,0,0,0
412,2,1,65949.0,0,0,1
413,2,1,49461.0,0,0,1
414,2,1,78526.0,0,0,1
415,2,1,58894.0,0,0,1
416,3,1,260000.0,1,1,0
417,3,1,60000.0,0,0,4
418,2,1,63900.0,1,1,1
419,2,1,160000.0,1,1,4
420,2,1,112300.0,1,1,4
421,2,1,241000.0,1,1,4
422,2,1,159000.0,1,1,4
423,3,1,180000.0,1,1,0
424,3,1,80000.0,1,1,0
425,2,1,82900.0,1,1,1
426,3,1,100800.0,1,1,1
427,2,1,49461.0,0,0,1
428,3,1,140400.0,1,1,0
429,2,1,39263.0,0,0,2
430,2,1,43966.0,0,0,2
431,2,1,32974.0,0,0,2
432,2,1,87932.0,0,0,1
433,2,1,76940.0,0,0,1
434,2,1,104702.0,0,0,1
435,2,1,91614.0,0,0,1
436,2,1,65949.0,0,0,1
437,2,1,87932.0,0,0,1
438,3,1,189650.0,1,1,3
439,3,1,164996.0,1,1,3
440,2,1,43966.0,0,0,2
441,2,1,32974.0,0,0,2
442,2,1,98158.0,0,0,1
443,2,1,78526.0,0,0,1
444,3,1,215300.0,1,1,0
445,2,1,76940.0,0,0,1
446,3,1,209100.0,1,1,1
447,3,1,154600.0,1,1,1
448,3,1,180000.0,1,1,1
449,1,1,21983.0,0,0,4
450,3,1,80000.0,1,1,1
451,2,1,78791.0,0,0,4
452,4,1,196979.0,0,0,4
453,2,1,120000.0,1,1,3
454,1,1,125000.0,1,1,4
455,2,1,37236.0,1,1,4
456,3,1,105000.0,1,1,1
457,3,1,87932.0,0,0,4
458,2,1,18442.0,0,0,4
459,2,1,31615.0,0,0,0
460,2,1,58255.0,0,0,4
461,1,1,100000.0,1,1,4
462,2,2,54957.0,0,0,1
463,1,1,18442.0,0,0,0
464,3,1,162674.0,0,0,4
465,1,1,120000.0,1,1,1
466,3,1,144000.0,1,1,4
467,3,1,104890.0,1,1,0
468,3,1,100000.0,1,1,1
469,3,1,140000.0,1,1,0
470,2,1,135000.0,1,1,2
471,2,1,50000.0,1,1,2
472,3,1,220000.0,1,1,0
473,3,1,140000.0,1,1,0
474,2,1,183228.0,0,0,0
475,2,1,91614.0,0,0,0
476,3,1,185100.0,1,1,0
477,3,1,220000.0,1,1,3
478,2,1,200000.0,1,1,0
479,2,1,120000.0,1,1,0
480,3,1,120000.0,0,0,3
481,3,1,65000.0,0,0,3
482,4,1,324000.0,1,1,1
483,4,1,216000.0,1,1,1
484,3,1,210000.0,1,1,1
485,3,1,120000.0,1,1,3
486,3,1,230000.0,1,1,0
487,1,2,100000.0,0,0,0
488,2,4,100000.0,1,0,0
489,1,3,31875.0,0,0,4
490,3,1,200000.0,1,0,4
491,2,1,75000.0,0,0,4
492,2,1,35590.0,0,0,0
493,3,1,78791.0,0,0,4
494,3,1,100000.0,1,0,0
495,2,1,153000.0,1,1,4
496,1,1,58035.0,0,0,1
497,3,1,165000.0,1,1,0
498,3,1,93427.0,0,0,4
499,1,1,52396.0,0,0,0
500,3,1,62651.0,0,0,3
501,2,1,32974.0,0,0,4
502,1,1,40000.0,0,0,0
503,2,1,87425.0,0,0,3
504,3,1,115000.0,1,1,1
505,1,1,86703.0,0,0,0
506,2,1,75000.0,1,0,4
507,2,1,64849.0,0,0,4
508,1,1,120000.0,1,1,4
509,2,1,157000.0,1,1,4
510,1,1,150000.0,0,0,4
511,2,1,70912.0,0,0,4
512,1,1,65000.0,1,1,1
513,3,1,71444.0,0,0,3
514,1,1,20000.0,0,0,4
515,2,1,48000.0,1,0,0
516,3,1,152500.0,1,1,4
517,2,1,68147.0,0,0,1
518,2,1,122346.0,0,0,0
519,3,1,380000.0,1,1,4
520,2,1,69336.0,0,0,0
521,1,1,10000.0,0,0,4
522,2,1,20000.0,0,0,2
523,3,1,405000.0,1,1,4
524,2,1,135000.0,1,1,0
525,3,1,177000.0,1,1,4
526,2,1,78000.0,1,1,0
527,3,1,135000.0,1,1,2
528,3,1,100000.0,1,1,2
529,3,1,90320.0,1,1,2
530,2,1,85000.0,0,0,2
531,2,1,75000.0,0,0,2
532,3,1,214000.0,1,1,3
533,3,1,192600.0,1,1,3
534,3,1,266400.0,1,1,4
